,school,conference,school_id
249,Purdue Fort Wayne,(Horizon),308
250,San Diego St.,(Mountain West),626
251,Ark.-Pine Bluff,(SWAC),2678
252,LMU,(WCC),370
253,NIU,(MAC),503
254,North Dakota St.,(Summit League),493
255,Binghamton,(America East),62
256,Fordham,(Atlantic 10),236
257,Tulane,(AAC),718
258,San Jose St.,(Mountain West),630
259,Cornell,(Ivy League),167
260,Omaha,(Summit League),464
261,Fresno St.,(Mountain West),96
262,UAB,(C-USA),9
263,Brown,(Ivy League),80
264,Cincinnati,(AAC),140
265,Wright St.,(Horizon),810
266,Eastern Mich.,(MAC),204
267,St. Bonaventure,(Atlantic 10),596
268,Penn,(Ivy League),540
269,Iona,(MAAC),310
270,Oregon,(Pac-12),529
271,Prairie View,(SWAC),553
272,Bowling Green,(MAC),71
273,Bryant,(America East),81
274,Bucknell,(Patriot),83
275,Northwestern,(Big Ten),509
276,UMES,(NEC),393
277,Columbia,(Ivy League),158
278,Western Mich.,(MAC),774
279,Dartmouth,(Ivy League),172
280,Marist,(MAAC),386
281,Canisius,(MAAC),116
282,Liberty,(ASUN),355
283,New Mexico St.,(WAC),472
284,Siena,(MAAC),639
285,Oakland,(Horizon),514
286,Saint Joseph's,(Atlantic 10),606
287,UMass Lowell,(America East),368
288,Manhattan,(MAAC),381
289,Notre Dame,(ACC),513
290,Charleston So.,(Big South),48
291,Dayton,(Atlantic 10),175
,Bellarmine,(ASUN),52
,UC San Diego,(Big West),112
,Tarleton St.,(WAC),1395
,Dixie St.,(WAC),30095
,Merrimack,(NEC),410
