,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,season,division,PA,1B,OBP,BA,SLG,OPS,ISO,HR/PA,K/PA,BB/PA,K/BB,BABIP,wOBA,wRAA,wRC,team
2,18,34,14,5,2,26,1,13,13,2,1,0,8,0,0,0,0,0,0,02/19/2023,away,16340,485,Norfolk St.,9,True,18,6,12,win,2420235,444,2023,1,50,6,0.58,0.412,0.765,1.345,0.353,0.02,0.16,0.26,0.615,0.5,0.586,11.179,19.029,444
3,3,27,5,1,0,9,1,3,3,0,0,0,6,0,0,0,0,0,0,02/19/2023,away,16340,485,Norfolk St.,9,True,3,0,3,win,2420239,444,2023,1,30,3,0.267,0.185,0.333,0.6,0.148,0.033,0.2,0.1,2.0,0.2,0.283,-2.573,2.137,444
0,13,39,13,6,0,19,0,10,8,2,1,0,10,1,1,0,4,0,0,02/17/2023,away,16340,363,Longwood,9,True,13,9,4,win,2390421,450,2023,1,50,7,0.46,0.333,0.487,0.947,0.154,0.0,0.2,0.16,1.25,0.433,0.447,4.084,11.934,450
1,8,35,13,1,0,14,0,7,5,1,0,1,9,1,0,2,1,0,0,02/18/2023,away,16340,363,Longwood,9,True,8,5,3,win,2390756,450,2023,1,42,12,0.452,0.371,0.4,0.852,0.029,0.0,0.214,0.119,1.8,0.5,0.415,2.058,8.652,450
2,5,36,10,1,0,17,2,2,1,2,0,1,13,0,1,0,0,0,0,02/19/2023,away,16340,363,Longwood,9,True,5,1,4,win,2391020,450,2023,1,40,7,0.325,0.278,0.472,0.797,0.194,0.05,0.325,0.025,13.0,0.381,0.358,-0.368,5.912,450
3,6,28,6,2,0,14,2,6,8,5,2,2,10,0,0,1,1,0,0,02/21/2023,away,16340,165,Coppin St.,10,True,6,5,1,win,2391156,450,2023,1,45,2,0.422,0.214,0.5,0.922,0.286,0.044,0.222,0.178,1.25,0.222,0.417,2.297,9.362,450
0,2,34,4,1,0,8,1,2,2,2,0,0,10,0,0,0,0,0,0,02/17/2023,away,16340,2711,North Florida,10,True,2,3,-1,loss,2390472,454,2023,1,38,2,0.211,0.118,0.235,0.446,0.117,0.026,0.263,0.053,5.0,0.13,0.22,-5.703,0.263,454
1,11,39,13,4,0,20,1,9,6,1,0,1,9,1,1,0,1,0,1,02/18/2023,away,16340,2711,North Florida,9,True,11,3,8,win,2390773,454,2023,1,47,8,0.426,0.333,0.513,0.939,0.18,0.021,0.191,0.128,1.5,0.414,0.432,3.119,10.498,454
2,7,35,10,2,0,18,2,6,3,0,2,0,10,0,0,0,0,0,0,02/19/2023,away,16340,2711,North Florida,9,True,7,17,-10,loss,2391039,454,2023,1,40,6,0.325,0.286,0.514,0.839,0.228,0.05,0.25,0.075,3.333,0.32,0.365,-0.082,6.198,454
3,2,36,10,2,0,12,0,2,2,0,1,0,5,1,0,0,0,0,0,02/21/2023,home,16340,695,UT Martin,9,True,2,5,-3,loss,2391107,454,2023,1,39,8,0.308,0.278,0.333,0.641,0.055,0.0,0.128,0.051,2.5,0.312,0.302,-2.588,3.535,454
0,5,30,10,3,0,13,0,4,1,0,0,0,7,1,0,1,0,0,1,02/17/2023,away,16340,746,Virginia,9,True,5,24,-19,loss,2390348,726,2023,1,31,7,0.355,0.333,0.433,0.788,0.1,0.0,0.226,0.032,7.0,0.435,0.366,-0.032,4.835,726
1,0,34,8,0,0,8,0,0,2,1,0,0,10,3,0,0,0,0,2,02/18/2023,away,16340,460,UNCW,9,True,0,8,-8,loss,2391052,726,2023,1,37,8,0.297,0.235,0.235,0.532,0.0,0.0,0.27,0.054,5.0,0.333,0.27,-3.664,2.145,726
2,9,39,13,1,0,14,0,6,3,0,1,0,5,1,0,0,0,0,1,02/19/2023,neutral,16340,519,Ohio,9,True,9,27,-18,loss,2390624,726,2023,1,43,12,0.372,0.333,0.359,0.731,0.026,0.0,0.116,0.07,1.667,0.371,0.35,-0.746,6.005,726
3,10,36,12,1,1,15,0,10,4,2,1,0,8,2,0,0,1,0,2,02/21/2023,home,16340,251,Georgetown,9,True,10,18,-8,loss,2391144,726,2023,1,43,10,0.419,0.333,0.417,0.836,0.084,0.0,0.186,0.093,2.0,0.414,0.4,1.449,8.2,726
0,3,32,5,1,0,6,0,3,7,2,0,0,9,0,0,0,0,0,0,02/17/2023,away,16340,627,San Diego,9,True,3,7,-4,loss,2390273,463,2023,1,41,4,0.341,0.156,0.188,0.529,0.032,0.0,0.22,0.171,1.286,0.217,0.298,-2.888,3.549,463
1,3,37,11,1,0,15,1,3,1,0,0,0,12,1,1,0,1,0,0,02/18/2023,away,16340,627,San Diego,9,True,3,5,-2,loss,2390516,463,2023,1,38,9,0.316,0.297,0.405,0.721,0.108,0.026,0.316,0.026,12.0,0.417,0.332,-1.358,4.608,463
2,9,34,10,2,0,18,2,9,3,5,1,0,12,0,0,0,1,0,0,02/19/2023,away,16340,627,San Diego,9,True,9,10,-1,loss,2390835,463,2023,1,43,6,0.419,0.294,0.529,0.948,0.235,0.047,0.279,0.07,4.0,0.381,0.433,2.897,9.648,463
3,16,38,17,4,1,29,2,13,7,1,0,0,11,0,1,0,0,0,0,02/20/2023,away,16340,627,San Diego,9,True,16,16,0,tie,2391068,463,2023,1,46,10,0.543,0.447,0.763,1.306,0.316,0.043,0.239,0.152,1.571,0.6,0.579,9.956,17.178,463
0,1,35,9,1,0,10,0,1,1,1,0,0,14,2,0,0,0,0,1,02/17/2023,away,16340,110,UCLA,9,True,1,16,-15,loss,2390434,464,2023,1,37,8,0.297,0.257,0.286,0.583,0.029,0.0,0.378,0.027,14.0,0.429,0.284,-3.135,2.674,464
1,0,32,5,2,0,7,0,0,0,0,0,0,15,0,0,0,2,0,0,02/18/2023,away,16340,110,UCLA,9,True,0,23,-23,loss,2390738,464,2023,1,32,3,0.156,0.156,0.219,0.375,0.063,0.0,0.469,0.0,0.0,0.294,0.171,-6.403,-1.379,464
2,1,33,6,0,0,9,1,1,3,0,0,0,14,0,0,0,1,0,0,02/19/2023,away,16340,110,UCLA,9,True,1,8,-7,loss,2390991,464,2023,1,36,5,0.25,0.182,0.273,0.523,0.091,0.028,0.389,0.083,4.667,0.278,0.252,-4.227,1.425,464
3,2,32,7,0,0,10,1,2,4,1,0,0,10,1,1,0,1,1,1,02/23/2023,away,16340,96,Fresno St.,9,True,2,3,-1,loss,2391561,464,2023,1,36,6,0.361,0.219,0.312,0.673,0.093,0.028,0.278,0.111,2.5,0.286,0.323,-1.617,4.035,464
4,1,31,4,2,0,6,0,1,0,0,0,0,6,0,1,0,0,0,0,02/23/2023,away,16340,96,Fresno St.,9,True,1,2,-1,loss,2391267,464,2023,1,31,2,0.129,0.129,0.194,0.323,0.065,0.0,0.194,0.0,0.0,0.16,0.145,-7.026,-2.159,464
0,3,31,5,1,0,9,1,3,3,1,0,0,9,0,1,0,2,0,0,02/17/2023,away,16340,2,Abilene Christian,9,True,3,5,-2,loss,2390288,466,2023,1,35,3,0.257,0.161,0.29,0.547,0.129,0.029,0.257,0.086,3.0,0.19,0.265,-3.645,1.85,466
1,4,35,9,0,0,15,2,3,3,2,0,0,8,1,0,0,0,0,1,02/18/2023,away,16340,2,Abilene Christian,9,True,4,5,-1,loss,2390526,466,2023,1,40,7,0.35,0.257,0.429,0.779,0.172,0.05,0.2,0.075,2.667,0.28,0.364,-0.123,6.157,466
2,9,36,11,1,0,18,2,9,5,1,1,0,13,0,1,0,0,1,0,02/19/2023,away,16340,2,Abilene Christian,9,True,9,7,2,win,2390845,466,2023,1,42,8,0.429,0.306,0.5,0.929,0.194,0.048,0.31,0.119,2.6,0.409,0.419,2.23,8.824,466
3,3,32,6,2,0,11,1,3,6,1,1,0,9,0,0,0,0,0,0,02/20/2023,away,16340,2,Abilene Christian,9,True,3,7,-4,loss,2391069,466,2023,1,40,3,0.325,0.188,0.344,0.669,0.156,0.025,0.225,0.15,1.5,0.217,0.324,-1.756,4.524,466
0,14,39,15,1,1,27,3,12,7,3,0,1,10,0,0,0,2,0,0,02/17/2023,home,16340,534,Pacific,9,True,14,6,8,win,2390248,465,2023,1,50,10,0.5,0.385,0.692,1.192,0.307,0.06,0.2,0.14,1.429,0.462,0.526,8.116,15.966,465
1,8,31,9,1,1,12,0,5,7,5,1,0,4,1,0,0,1,0,0,02/18/2023,home,16340,534,Pacific,9,True,8,3,5,win,2390497,465,2023,1,44,7,0.477,0.29,0.387,0.864,0.097,0.0,0.091,0.159,0.571,0.321,0.434,3.01,9.918,465
2,31,48,27,7,0,37,1,28,13,2,3,0,3,2,0,0,3,0,0,02/19/2023,home,16340,534,Pacific,9,True,31,6,25,win,2390816,465,2023,1,66,19,0.636,0.562,0.771,1.407,0.209,0.015,0.045,0.197,0.231,0.553,0.621,17.115,27.477,465
3,3,36,9,2,0,11,0,3,2,2,0,0,8,0,0,1,0,0,0,02/21/2023,away,16340,28,Arizona St.,9,True,3,6,-3,loss,2391104,465,2023,1,40,7,0.325,0.25,0.306,0.631,0.056,0.0,0.2,0.05,4.0,0.321,0.311,-2.287,3.993,465
0,3,34,8,2,0,13,1,3,1,0,0,1,8,1,0,0,0,1,1,02/17/2023,away,16340,173,Davidson,9,True,3,4,-1,loss,2390283,471,2023,1,35,5,0.286,0.235,0.382,0.668,0.147,0.029,0.229,0.029,8.0,0.28,0.289,-2.787,2.708,471
1,12,40,13,1,0,17,1,11,7,1,0,0,7,1,1,0,3,0,1,02/18/2023,away,16340,173,Davidson,10,True,12,4,8,win,2390522,471,2023,1,48,11,0.438,0.325,0.425,0.863,0.1,0.021,0.146,0.146,1.0,0.375,0.417,2.45,9.986,471
2,14,36,13,2,0,24,3,14,6,2,3,1,6,0,1,0,2,0,0,02/19/2023,away,16340,173,Davidson,9,True,14,6,8,win,2390841,471,2023,1,48,8,0.438,0.361,0.667,1.105,0.306,0.062,0.125,0.125,1.0,0.333,0.468,4.949,12.485,471
0,7,43,14,3,1,19,0,7,4,1,0,0,14,0,0,0,1,0,0,02/17/2023,neutral,16340,528,Oregon St.,9,True,7,2,5,win,2390332,473,2023,1,48,10,0.396,0.326,0.442,0.838,0.116,0.0,0.292,0.083,3.5,0.483,0.396,1.421,8.957,473
1,3,32,7,0,1,9,0,2,3,0,0,0,14,1,0,0,0,0,0,02/18/2023,neutral,16340,104,UC Santa Barbara,9,True,3,1,2,win,2390597,473,2023,1,35,6,0.286,0.219,0.281,0.567,0.062,0.0,0.4,0.086,4.667,0.389,0.277,-3.216,2.279,473
2,6,35,11,1,0,15,1,6,1,2,1,0,9,2,0,0,0,0,2,02/19/2023,neutral,16340,528,Oregon St.,9,True,6,14,-8,loss,2390910,473,2023,1,39,9,0.359,0.314,0.429,0.788,0.115,0.026,0.231,0.026,9.0,0.385,0.365,-0.08,6.043,473
3,4,45,12,1,0,16,1,4,4,0,0,0,11,2,0,0,0,0,2,02/20/2023,neutral,16340,428,Minnesota,12,True,4,3,1,win,2391072,473,2023,1,49,10,0.327,0.267,0.356,0.683,0.089,0.02,0.224,0.082,2.75,0.333,0.325,-2.101,5.592,473
0,2,33,4,1,0,5,0,0,2,0,0,0,16,0,0,0,2,0,0,02/17/2023,home,16340,52,Bellarmine,9,True,2,7,-5,loss,2390247,472,2023,1,35,3,0.171,0.121,0.152,0.323,0.031,0.0,0.457,0.057,8.0,0.235,0.164,-7.254,-1.759,472
1,1,34,8,1,1,14,1,1,3,1,0,0,13,0,1,0,3,0,0,02/18/2023,home,16340,52,Bellarmine,9,True,1,8,-7,loss,2390495,472,2023,1,38,5,0.316,0.235,0.412,0.728,0.177,0.026,0.342,0.079,4.333,0.35,0.338,-1.125,4.841,472
2,9,39,12,2,0,17,1,7,7,2,2,1,12,2,1,0,3,0,0,02/19/2023,home,16340,52,Bellarmine,11,True,9,10,-1,loss,2390815,472,2023,1,51,9,0.412,0.308,0.436,0.848,0.128,0.02,0.235,0.137,1.714,0.393,0.397,1.562,9.569,472
0,9,34,10,0,0,13,1,7,10,2,0,0,10,2,2,0,1,0,0,02/17/2023,away,16340,1157,Kennesaw St.,9,True,9,6,3,win,2390412,474,2023,1,46,9,0.478,0.294,0.382,0.86,0.088,0.022,0.217,0.217,1.0,0.391,0.435,3.193,10.415,474
1,1,36,9,0,0,9,0,1,4,0,1,0,11,0,0,0,0,0,0,02/18/2023,away,16340,1157,Kennesaw St.,9,True,1,10,-9,loss,2390735,474,2023,1,41,9,0.317,0.25,0.25,0.567,0.0,0.0,0.268,0.098,2.75,0.346,0.285,-3.432,3.005,474
2,4,35,10,1,0,14,1,3,3,0,0,0,4,2,1,0,0,0,0,02/19/2023,away,16340,1157,Kennesaw St.,9,True,4,8,-4,loss,2390986,474,2023,1,38,8,0.342,0.286,0.4,0.742,0.114,0.026,0.105,0.079,1.333,0.3,0.348,-0.737,5.229,474
3,0,28,1,1,0,2,0,0,2,0,0,0,15,1,0,0,0,0,1,02/21/2023,away,16340,664,Southern Miss.,9,True,0,12,-12,loss,2391181,474,2023,1,30,0,0.1,0.036,0.071,0.171,0.035,0.0,0.5,0.067,7.5,0.077,0.096,-8.3,-3.59,474
0,4,34,10,2,0,18,2,4,1,1,0,0,10,0,0,0,2,0,0,02/17/2023,home,16340,30136,Lindenwood,9,True,4,0,4,win,2390470,483,2023,1,36,6,0.333,0.294,0.529,0.862,0.235,0.056,0.278,0.028,10.0,0.364,0.385,0.662,6.314,483
1,2,29,4,2,0,6,0,2,3,3,1,1,6,0,1,0,2,0,0,02/18/2023,home,16340,30136,Lindenwood,9,True,2,3,-1,loss,2390806,483,2023,1,37,2,0.27,0.138,0.207,0.477,0.069,0.0,0.162,0.081,2.0,0.167,0.251,-4.382,1.427,483
2,8,34,14,4,0,21,1,8,6,0,1,0,1,2,1,0,1,0,2,02/19/2023,home,16340,30136,Lindenwood,9,True,8,3,5,win,2391062,483,2023,1,41,9,0.488,0.412,0.618,1.106,0.206,0.024,0.024,0.146,0.167,0.394,0.499,5.525,11.962,483
3,9,32,7,4,0,14,1,7,4,4,2,0,8,0,0,0,4,0,0,02/20/2023,home,16340,30136,Lindenwood,9,True,9,2,7,win,2391075,483,2023,1,42,2,0.357,0.219,0.438,0.795,0.219,0.024,0.19,0.095,2.0,0.24,0.368,0.043,6.637,483
4,4,34,7,3,0,13,1,4,1,3,0,0,14,0,0,0,1,0,0,02/22/2023,away,16340,646,South Alabama,9,True,4,5,-1,loss,2391248,483,2023,1,38,3,0.289,0.206,0.382,0.671,0.176,0.026,0.368,0.026,14.0,0.316,0.314,-2.056,3.91,483
0,6,38,9,2,1,13,0,5,3,0,0,0,12,0,1,0,2,0,0,02/18/2023,home,16340,444,Morehead St.,9,True,6,7,-1,loss,2390671,485,2023,1,41,6,0.293,0.237,0.342,0.635,0.105,0.0,0.293,0.073,4.0,0.346,0.3,-2.804,3.633,485
1,2,21,2,0,0,2,0,2,7,1,0,0,12,1,0,1,3,0,1,02/18/2023,home,16340,444,Morehead St.,9,True,2,3,-1,loss,2407995,485,2023,1,29,2,0.345,0.095,0.095,0.44,0.0,0.0,0.414,0.241,1.714,0.222,0.283,-2.487,2.066,485
2,6,30,9,2,0,14,1,4,2,3,0,0,7,0,1,0,0,0,0,02/19/2023,home,16340,444,Morehead St.,9,True,6,18,-12,loss,2420235,485,2023,1,35,6,0.4,0.3,0.467,0.867,0.167,0.029,0.2,0.057,3.5,0.364,0.408,1.465,6.96,485
3,0,25,5,0,0,5,0,0,1,1,0,0,12,0,0,0,1,0,0,02/19/2023,home,16340,444,Morehead St.,9,True,0,3,-3,loss,2420239,485,2023,1,27,5,0.259,0.2,0.2,0.459,0.0,0.0,0.444,0.037,12.0,0.385,0.235,-3.639,0.6,485
0,0,32,6,1,0,7,0,0,3,1,0,0,11,1,0,0,0,0,1,02/18/2023,home,16340,797,Milwaukee,9,True,0,5,-5,loss,2390414,487,2023,1,36,5,0.278,0.188,0.219,0.497,0.031,0.0,0.306,0.083,3.667,0.286,0.256,-4.08,1.572,487
1,4,34,9,2,0,11,0,3,7,3,1,0,13,1,0,0,0,0,1,02/18/2023,home,16340,797,Milwaukee,9,True,4,6,-2,loss,2390741,487,2023,1,45,7,0.422,0.265,0.324,0.746,0.059,0.0,0.289,0.156,1.857,0.409,0.381,0.643,7.708,487
2,14,33,13,0,2,20,1,11,10,3,2,2,7,1,0,0,1,0,1,02/19/2023,home,16340,797,Milwaukee,9,True,14,6,8,win,2390924,487,2023,1,50,10,0.52,0.394,0.606,1.126,0.212,0.02,0.14,0.2,0.7,0.444,0.501,6.84,14.69,487
3,1,25,5,3,0,8,0,1,0,0,1,0,12,0,0,0,0,0,0,02/21/2023,neutral,16340,37,Auburn,9,True,1,13,-12,loss,2391124,487,2023,1,26,2,0.192,0.2,0.32,0.512,0.12,0.0,0.462,0.0,0.0,0.357,0.224,-3.796,0.286,487
0,8,32,7,1,1,13,1,6,12,1,1,0,6,3,1,0,1,0,3,02/17/2023,home,16340,635,Seton Hall,9,True,8,10,-2,loss,2390418,457,2023,1,46,4,0.435,0.219,0.406,0.841,0.187,0.022,0.13,0.261,0.5,0.231,0.412,2.113,9.335,457
1,11,32,10,3,0,13,0,11,11,4,0,1,4,1,0,0,4,0,1,02/18/2023,home,16340,635,Seton Hall,9,True,11,2,9,win,2390749,457,2023,1,48,7,0.521,0.312,0.406,0.927,0.094,0.0,0.083,0.229,0.364,0.357,0.467,4.9,12.436,457
2,4,28,7,0,1,12,1,4,7,1,0,0,6,2,1,0,0,0,2,02/19/2023,home,16340,635,Seton Hall,9,True,4,2,2,win,2391008,457,2023,1,36,5,0.417,0.25,0.429,0.846,0.179,0.028,0.167,0.194,0.857,0.286,0.408,1.507,7.159,457
3,14,36,12,1,0,13,0,13,9,2,2,0,8,0,0,0,2,0,0,02/21/2023,home,16340,563,Radford,9,True,14,2,12,win,2391168,457,2023,1,49,11,0.469,0.333,0.361,0.83,0.028,0.0,0.163,0.184,0.889,0.4,0.417,2.501,10.194,457
4,10,39,15,3,0,27,3,9,4,1,0,0,5,0,0,0,2,0,0,02/22/2023,home,16340,363,Longwood,9,True,10,0,10,win,2391236,457,2023,1,44,9,0.455,0.385,0.692,1.147,0.307,0.068,0.114,0.091,1.25,0.387,0.508,6.334,13.242,457
0,8,37,15,1,0,22,2,8,3,0,0,0,4,1,1,0,2,0,0,02/18/2023,home,16340,393,UMES,9,True,8,5,3,win,2420152,488,2023,1,40,12,0.45,0.405,0.595,1.045,0.19,0.05,0.1,0.075,1.333,0.419,0.475,4.41,10.69,488
1,10,35,13,1,2,18,0,9,2,2,0,0,5,1,0,0,2,0,0,02/18/2023,home,16340,393,UMES,9,True,10,5,5,win,2420154,488,2023,1,39,10,0.436,0.371,0.514,0.95,0.143,0.0,0.128,0.051,2.5,0.433,0.443,3.026,9.149,488
2,5,38,10,2,1,14,0,4,3,1,0,0,4,2,0,0,1,0,1,02/19/2023,home,16340,393,UMES,10,True,5,4,1,win,2390864,488,2023,1,42,7,0.333,0.263,0.368,0.701,0.105,0.0,0.095,0.071,1.333,0.294,0.335,-1.372,5.222,488
3,1,30,6,0,0,6,0,1,3,2,0,0,6,2,1,0,0,0,2,02/21/2023,away,16340,173,Davidson,9,True,1,15,-14,loss,2391098,488,2023,1,35,6,0.314,0.2,0.2,0.514,0.0,0.0,0.171,0.086,2.0,0.25,0.276,-3.252,2.243,488
0,14,39,19,2,0,24,1,14,4,1,1,0,2,2,0,0,1,0,2,02/17/2023,home,16340,748,Wagner,9,True,14,1,13,win,2390374,490,2023,1,45,16,0.533,0.487,0.615,1.148,0.128,0.022,0.044,0.089,0.5,0.486,0.527,7.351,14.416,490
1,3,29,5,2,0,7,0,2,7,2,0,0,10,0,0,0,0,0,0,02/18/2023,home,16340,748,Wagner,9,True,3,2,1,win,2390737,490,2023,1,38,3,0.368,0.172,0.241,0.609,0.069,0.0,0.263,0.184,1.429,0.263,0.331,-1.397,4.569,490
2,9,32,8,3,0,17,2,8,9,4,0,0,6,0,0,0,3,0,0,02/19/2023,home,16340,748,Wagner,9,True,9,0,9,win,2390990,490,2023,1,45,3,0.467,0.25,0.531,0.998,0.281,0.044,0.133,0.2,0.667,0.25,0.467,4.594,11.659,490
3,16,44,16,5,1,32,3,15,4,0,0,1,8,1,0,0,1,0,1,02/22/2023,away,16340,149,Coastal Carolina,9,True,16,4,12,win,2391235,490,2023,1,49,7,0.408,0.364,0.727,1.135,0.363,0.061,0.163,0.082,2.0,0.394,0.488,6.053,13.746,490
0,7,30,9,4,0,16,1,7,6,2,2,1,5,0,0,0,3,1,0,02/17/2023,home,16340,590,Sacred Heart,9,True,7,1,6,win,2390276,456,2023,1,40,4,0.45,0.3,0.533,0.983,0.233,0.025,0.125,0.15,0.833,0.308,0.433,2.695,8.975,456
1,11,37,15,2,0,20,1,10,6,2,1,1,6,0,0,0,3,1,0,02/18/2023,home,16340,590,Sacred Heart,9,True,11,3,8,win,2390518,456,2023,1,46,12,0.522,0.405,0.541,1.063,0.136,0.022,0.13,0.13,1.0,0.452,0.485,5.542,12.764,456
2,7,32,8,1,0,9,0,5,4,1,0,0,7,1,0,0,2,0,0,02/19/2023,home,16340,590,Sacred Heart,9,True,7,2,5,win,2390837,456,2023,1,37,7,0.351,0.25,0.281,0.632,0.031,0.0,0.189,0.108,1.75,0.32,0.322,-1.7,4.109,456
3,0,29,1,0,0,1,0,0,0,1,0,0,13,0,0,0,0,0,0,02/21/2023,away,16340,2915,Wofford,9,True,0,4,-4,loss,2391183,456,2023,1,30,1,0.067,0.034,0.034,0.101,0.0,0.0,0.433,0.0,0.0,0.062,0.058,-9.464,-4.754,456
0,1,28,3,0,0,3,0,1,15,0,0,0,14,0,0,0,0,0,0,02/17/2023,home,16340,47,Ball St.,9,True,1,2,-1,loss,2390415,458,2023,1,43,3,0.419,0.107,0.107,0.526,0.0,0.0,0.326,0.349,0.933,0.214,0.34,-1.185,5.566,458
1,9,22,6,1,0,10,1,8,10,4,0,1,6,1,0,0,0,0,0,02/18/2023,home,16340,47,Ball St.,9,True,9,4,5,win,2390651,458,2023,1,37,4,0.541,0.273,0.455,0.996,0.182,0.027,0.162,0.27,0.6,0.333,0.491,4.684,10.493,458
2,9,26,8,2,0,13,1,8,7,1,0,0,6,0,0,0,0,0,0,02/18/2023,home,16340,47,Ball St.,9,True,9,5,4,win,2407900,458,2023,1,34,5,0.471,0.308,0.5,0.971,0.192,0.029,0.176,0.206,0.857,0.368,0.46,3.228,8.566,458
3,19,27,8,1,0,9,0,15,18,3,1,0,7,0,0,0,2,0,0,02/19/2023,home,16340,47,Ball St.,9,True,19,5,14,win,2390996,458,2023,1,49,7,0.592,0.296,0.333,0.925,0.037,0.0,0.143,0.367,0.389,0.381,0.5,6.653,14.346,458
4,5,35,8,0,0,11,1,5,3,1,1,0,7,0,0,0,0,0,0,02/21/2023,away,16340,147,Clemson,9,True,5,9,-4,loss,2391164,458,2023,1,40,7,0.3,0.229,0.314,0.614,0.085,0.025,0.175,0.075,2.333,0.25,0.295,-2.94,3.34,458
0,0,31,4,1,0,5,0,0,4,1,0,0,9,0,0,0,0,0,0,02/17/2023,home,16340,500,Northeastern,9,True,0,11,-11,loss,2390426,459,2023,1,36,3,0.25,0.129,0.161,0.411,0.032,0.0,0.25,0.111,2.25,0.182,0.225,-5.219,0.433,459
1,7,38,15,4,0,19,0,6,4,2,2,0,8,0,1,0,1,0,0,02/18/2023,home,16340,500,Northeastern,9,True,7,6,1,win,2390759,459,2023,1,46,11,0.457,0.395,0.5,0.957,0.105,0.0,0.174,0.087,2.0,0.469,0.444,3.616,10.838,459
2,9,39,11,1,1,14,0,9,5,2,0,1,13,1,0,0,1,0,0,02/19/2023,home,16340,500,Northeastern,9,True,9,12,-3,loss,2391030,459,2023,1,47,9,0.383,0.282,0.359,0.742,0.077,0.0,0.277,0.106,2.6,0.423,0.362,-0.24,7.139,459
3,2,31,5,0,0,5,0,2,2,1,0,0,8,1,0,0,1,0,0,02/21/2023,home,16340,749,Wake Forest,9,True,2,20,-18,loss,2391175,459,2023,1,34,5,0.235,0.161,0.161,0.396,0.0,0.0,0.235,0.059,4.0,0.217,0.21,-5.45,-0.112,459
0,14,36,12,1,1,18,1,14,7,4,1,0,8,0,0,0,3,0,0,02/17/2023,home,16340,519,Ohio,9,True,14,10,4,win,2390433,460,2023,1,48,9,0.479,0.333,0.5,0.979,0.167,0.021,0.167,0.146,1.143,0.393,0.462,4.655,12.191,460
1,8,38,14,1,1,20,1,8,3,0,0,0,5,1,0,0,3,0,1,02/18/2023,home,16340,726,Navy,9,True,8,0,8,win,2391052,460,2023,1,41,11,0.415,0.368,0.526,0.941,0.158,0.024,0.122,0.073,1.667,0.406,0.432,2.721,9.158,460
2,0,26,2,0,0,2,0,0,4,0,0,0,12,1,1,1,0,0,0,02/19/2023,home,16340,746,Virginia,9,True,0,7,-7,loss,2390777,460,2023,1,30,2,0.2,0.077,0.077,0.277,0.0,0.0,0.4,0.133,3.0,0.143,0.168,-6.095,-1.385,460
0,3,29,3,0,0,9,2,3,2,1,0,0,11,0,1,0,2,0,0,02/17/2023,away,16340,102,Sacramento St.,9,True,3,5,-2,loss,2390255,493,2023,1,32,1,0.188,0.103,0.31,0.498,0.207,0.062,0.344,0.062,5.5,0.062,0.228,-4.541,0.483,493
1,6,29,5,1,1,14,2,6,7,2,1,1,7,0,1,0,2,0,0,02/18/2023,away,16340,102,Sacramento St.,9,True,6,8,-2,loss,2390506,493,2023,1,40,1,0.35,0.172,0.483,0.833,0.311,0.05,0.175,0.175,1.0,0.143,0.374,0.286,6.566,493
2,2,31,6,0,0,6,0,1,3,0,0,0,6,1,1,0,1,0,1,02/19/2023,away,16340,102,Sacramento St.,9,True,2,3,-1,loss,2390871,493,2023,1,34,6,0.265,0.194,0.194,0.459,0.0,0.0,0.176,0.088,2.0,0.24,0.237,-4.513,0.825,493
3,13,41,17,5,0,31,3,12,4,2,0,0,13,2,1,0,3,0,1,02/19/2023,away,16340,102,Sacramento St.,9,True,13,4,9,win,2408511,493,2023,1,47,9,0.489,0.415,0.756,1.245,0.341,0.064,0.277,0.085,3.25,0.56,0.548,8.685,16.064,493
0,3,34,7,2,0,12,1,3,3,0,0,1,11,1,0,0,1,0,0,02/17/2023,home,16340,454,Murray St.,10,True,3,2,1,win,2390472,2711,2023,1,38,4,0.263,0.206,0.353,0.616,0.147,0.026,0.289,0.079,3.667,0.273,0.283,-3.259,2.707,2711
1,3,34,8,0,0,8,0,3,4,1,2,0,14,0,0,0,1,0,0,02/18/2023,home,16340,454,Murray St.,9,True,3,11,-8,loss,2390773,2711,2023,1,41,8,0.317,0.235,0.235,0.552,0.0,0.0,0.341,0.098,3.5,0.364,0.282,-3.558,2.879,2711
2,17,44,20,3,1,34,3,16,2,2,0,1,9,0,0,0,5,0,0,02/19/2023,home,16340,454,Murray St.,9,True,17,7,10,win,2391039,2711,2023,1,49,13,0.49,0.455,0.773,1.263,0.318,0.061,0.184,0.041,4.5,0.531,0.551,9.205,16.898,2711
3,7,35,7,0,0,13,2,6,7,2,0,0,7,0,0,1,0,0,0,02/21/2023,home,16340,10411,USC Upstate,9,True,7,15,-8,loss,2391198,2711,2023,1,44,5,0.364,0.2,0.371,0.735,0.171,0.045,0.159,0.159,1.0,0.192,0.359,-0.359,6.549,2711
4,4,34,7,1,0,11,1,4,4,1,1,0,9,0,0,1,0,0,0,02/22/2023,home,16340,10411,USC Upstate,9,True,4,9,-5,loss,2391233,2711,2023,1,40,5,0.3,0.206,0.324,0.624,0.118,0.025,0.225,0.1,2.25,0.24,0.299,-2.777,3.503,2711
