,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,season,division,PA,1B,OBP,BA,SLG,OPS,ISO,HR/PA,K/PA,BB/PA,K/BB,BABIP,wOBA,wRAA,wRC,team
1,8,35,11,3,0,14,0,7,6,1,0,0,7,1,0,1,2,0,1,02/18/2023,neutral,16340,609,Saint Louis,9,True,8,4,4,win,2390584,388,2023,1,42,8,0.429,0.314,0.4,0.829,0.086,0.0,0.167,0.143,1.167,0.393,0.405,1.629,8.223,388
2,10,44,16,3,0,19,0,8,3,0,0,0,4,0,0,0,0,0,0,02/19/2023,neutral,16340,609,Saint Louis,9,True,10,5,5,win,2390880,388,2023,1,47,13,0.404,0.364,0.432,0.836,0.068,0.0,0.085,0.064,1.333,0.4,0.396,1.392,8.771,388
0,7,34,8,0,2,18,2,7,6,2,0,0,7,1,0,0,0,0,1,02/17/2023,away,16340,651,South Fla.,9,True,7,8,-1,loss,2390476,392,2023,1,42,4,0.381,0.235,0.529,0.91,0.294,0.048,0.167,0.143,1.167,0.24,0.413,1.972,8.566,392
1,8,34,8,2,1,15,1,7,7,1,0,1,9,2,0,0,1,1,2,02/18/2023,away,16340,651,South Fla.,9,True,8,1,7,win,2390734,392,2023,1,42,4,0.405,0.235,0.441,0.846,0.206,0.024,0.214,0.167,1.286,0.292,0.389,0.943,7.537,392
2,9,33,10,2,0,21,3,9,5,1,1,0,6,1,1,1,3,0,1,02/19/2023,away,16340,651,South Fla.,9,True,9,5,4,win,2390985,392,2023,1,40,5,0.4,0.303,0.636,1.036,0.333,0.075,0.15,0.125,1.2,0.28,0.451,3.43,9.71,392
3,6,39,13,2,0,21,2,6,3,0,0,0,7,0,0,0,0,0,0,02/21/2023,home,16340,768,West Virginia,9,True,6,8,-2,loss,2391171,392,2023,1,42,9,0.381,0.333,0.538,0.919,0.205,0.048,0.167,0.071,2.333,0.367,0.416,2.101,8.695,392
0,11,38,12,3,1,20,1,11,6,1,0,0,9,1,0,0,1,0,1,02/21/2023,away,16340,180,Delaware,9,True,11,22,-11,loss,2391157,391,2023,1,45,7,0.422,0.316,0.526,0.948,0.21,0.022,0.2,0.133,1.5,0.393,0.438,3.262,10.327,391
0,5,32,8,1,0,9,0,4,2,0,0,1,7,1,0,1,0,0,0,02/18/2023,away,16340,488,N.C. A&T,9,True,5,8,-3,loss,2420152,393,2023,1,35,7,0.286,0.25,0.281,0.567,0.031,0.0,0.2,0.057,3.5,0.32,0.272,-3.395,2.1,393
1,5,33,6,1,0,10,1,2,7,2,0,0,13,1,0,0,1,0,0,02/18/2023,away,16340,488,N.C. A&T,9,True,5,10,-5,loss,2420154,393,2023,1,42,4,0.357,0.182,0.303,0.66,0.121,0.024,0.31,0.167,1.857,0.263,0.338,-1.243,5.351,393
2,4,39,7,0,0,7,0,3,1,3,0,0,8,0,1,0,2,0,0,02/19/2023,away,16340,488,N.C. A&T,10,True,4,5,-1,loss,2390864,393,2023,1,43,7,0.256,0.179,0.179,0.435,0.0,0.0,0.186,0.023,8.0,0.226,0.229,-6.058,0.693,393
3,9,35,11,1,0,12,0,9,8,0,1,0,7,1,0,0,0,0,1,02/22/2023,away,16340,249,George Washington,9,True,9,11,-2,loss,2391211,393,2023,1,44,10,0.432,0.314,0.343,0.775,0.029,0.0,0.159,0.182,0.875,0.379,0.388,0.943,7.851,393
0,3,30,4,2,0,6,0,3,2,2,1,0,8,0,0,0,0,0,0,02/17/2023,away,16340,648,South Carolina,9,True,3,20,-17,loss,2390404,368,2023,1,35,2,0.229,0.133,0.2,0.429,0.067,0.0,0.229,0.057,4.0,0.174,0.22,-5.253,0.242,368
1,1,29,2,1,0,3,0,1,1,2,0,0,9,0,0,0,2,0,0,02/18/2023,away,16340,648,South Carolina,9,True,1,17,-16,loss,2390723,368,2023,1,32,1,0.156,0.069,0.103,0.259,0.034,0.0,0.281,0.031,9.0,0.1,0.145,-7.253,-2.229,368
2,1,32,6,1,0,7,0,1,1,0,0,0,12,0,0,1,0,0,0,02/19/2023,away,16340,648,South Carolina,9,True,1,12,-11,loss,2391041,368,2023,1,33,5,0.212,0.188,0.219,0.431,0.031,0.0,0.364,0.03,12.0,0.3,0.207,-5.391,-0.21,368
0,1,28,5,1,0,6,0,0,1,1,0,0,4,1,0,0,0,0,0,02/17/2023,home,16340,169,Creighton,9,True,1,0,1,win,2390469,402,2023,1,30,4,0.233,0.179,0.214,0.447,0.035,0.0,0.133,0.033,4.0,0.208,0.223,-4.41,0.3,402
1,4,30,6,3,0,9,0,4,4,4,2,1,9,0,0,0,1,0,0,02/18/2023,home,16340,169,Creighton,9,True,4,9,-5,loss,2390761,402,2023,1,41,3,0.341,0.2,0.3,0.641,0.1,0.0,0.22,0.098,2.25,0.261,0.32,-1.967,4.47,402
2,1,30,4,3,0,10,1,1,1,1,0,0,9,0,0,1,1,0,0,02/19/2023,home,16340,169,Creighton,9,True,1,5,-4,loss,2391033,402,2023,1,32,0,0.188,0.133,0.333,0.521,0.2,0.031,0.281,0.031,9.0,0.15,0.234,-4.345,0.679,402
3,6,36,10,4,0,17,1,5,3,0,0,0,12,1,0,0,2,0,0,02/21/2023,away,16340,624,Sam Houston,9,True,6,18,-12,loss,2391096,402,2023,1,39,5,0.333,0.278,0.472,0.805,0.194,0.026,0.308,0.077,4.0,0.391,0.367,0.0,6.123,402
0,7,29,5,1,0,9,1,7,7,0,0,3,14,0,0,0,1,1,0,02/17/2023,home,16340,625,Samford,9,True,7,4,3,win,2390303,404,2023,1,38,3,0.342,0.172,0.31,0.652,0.138,0.026,0.368,0.184,2.0,0.286,0.306,-2.367,3.599,404
1,11,39,15,3,0,27,3,11,8,0,0,1,9,0,0,0,5,0,0,02/18/2023,home,16340,625,Samford,9,True,11,6,5,win,2390538,404,2023,1,48,9,0.479,0.385,0.692,1.171,0.307,0.062,0.188,0.167,1.125,0.444,0.514,7.204,14.74,404
2,8,44,11,5,1,27,3,8,7,0,0,1,14,0,0,0,1,3,0,02/19/2023,home,16340,625,Samford,11,True,8,9,-1,loss,2390863,404,2023,1,49,2,0.429,0.25,0.614,1.043,0.364,0.061,0.286,0.143,2.0,0.296,0.439,3.602,11.295,404
3,19,42,19,4,0,35,4,15,11,2,2,0,2,0,0,0,2,0,0,02/22/2023,home,16340,432,Mississippi Val.,9,True,19,10,9,win,2391216,404,2023,1,57,11,0.561,0.452,0.833,1.394,0.381,0.07,0.035,0.193,0.182,0.395,0.593,13.152,22.101,404
0,9,35,10,0,0,13,1,8,7,2,0,0,10,0,0,1,0,0,0,02/17/2023,home,16340,786,William & Mary,9,True,9,8,1,win,2390467,406,2023,1,44,9,0.432,0.286,0.371,0.803,0.085,0.023,0.227,0.159,1.429,0.375,0.401,1.527,8.435,406
1,2,33,6,2,0,11,1,1,2,2,0,0,14,0,0,0,0,0,0,02/18/2023,home,16340,786,William & Mary,9,True,2,6,-4,loss,2390757,406,2023,1,37,3,0.27,0.182,0.333,0.603,0.151,0.027,0.378,0.054,7.0,0.278,0.287,-3.022,2.787,406
